StationCode,Date,Year_Local,Month_Local,Day_Local,CTDSST_degC,CTDChlaSurf_mgm3,CTDSalinity_psu,GSLA,Biomass_mgm3,Volume_m3,Verilus.anomalus,Bleekeria mitsukurii,Arripis.trutta,Centroberyx.affinis,Petroscirtes.lupus,Lophonectes.gallus,Callanthias.australis,Pseudocaranx.georgianus,Trachurus.declivis,Trachurus.novaezelandiae,Cepola.australis,Ambassis.jacksoniensis,Ambassis.marianus,Chironemus marmoratus,Sardinops.sagax,Etrumeus.teres,Hyperlophus.vittatus,Spratelloides.robustus,Creedia haswelli,Limnichthys  fasciatus,Dinolestes.lewini,Emmelichthys.nitidus,Engraulis.australis,Enoplosus.armatus,Thyrsites.atun,Gempylus.serpens,Gerres.subfasciatus,Girella.tricuspidata,Gonorynchus.greyi,Macroramphosus.scolopax,Atypichthys.strigatus,Monodactylus.argenteus,Liza.argentea,Pegasus.volitans,Enigmapercis.reducta,Platyephalus.grandispinis ,Platycephalus.endrachtensis ,Ambiserrula.jugosa ,Platycephalus.fuscus,Sorsogona.tuberculata  ,Onigocia.pedimacula ,Rogadius.mcgroutheri ,Platycephalus.caeruleopunctatus ,Platycephalus.richardsoni ,Platycephalus.bassensis ,Ammotretis.rostratus,Pomatomus.saltatrix,Samaris.cristatus,Argyrosomus.japonicus,Atractoscion.atelodus,Scomber.australasicus,Euthynnys.affinis,Thunnus.albacares,Acanthocybium.solandri,Helicolenus.percoides,Neosebastes.scorpaenoides,Gymnapistes.marmoratus,Centropogon.australis,Scorpis.lineolata,Acanthistius.ocellatus,Sillago.robusta,Sillago.flindersi,Sillago.ciliata,Chrysophrys.auratus,Acanthopagrus.australis,Rhabdosargus.sarba,Pelates.sexlineatus,Lepidopus.caudatus,Acartia.australis,Acartia.clausi,Acartia.danae,Acartia.fossae,Acartia.negligens,Acartia.pacifica,Acartia.pietschmani,Acartia.simplex,Acartia.sinjiensis,Acartia.tonsa,Acartia.tranteri,Acrocalanus.gibber,Acrocalanus.gracilis,Acrocalanus.longicornis,Acrocalanus.monachus,Aetideus.acutus,Agetus.flaccus,Agetus.limbatus,Agetus.typicus,Amallothrix.tenuiserrata,Bestiolina.similis,Calanoides.carinatus,Calanoides.macrocarinatus,Calanoides.patagoniensis,Calanopia.aurivilli,Calanopia.australica,Calanopia.elliptica,Calanopia.minor,Calanus.australis,Calocalanus.contractus,Calocalanus.minutus,Calocalanus.pavo,Calocalanus.plumulosus,Calocalanus.styliremis,Calocalanus.tenuis,Candacia.bipinnata,Candacia.bispinosa,Candacia.bradyi,Candacia.catula,Candacia.cheirura,Candacia.discaudata,Candacia.ethiopica,Candacia.simplex,Candacia.truncata,Candacia.worthingtoni,Canthocalanus.pauper,Centropages.australiensis,Centropages.bradyi,Centropages.calaninus,Centropages.elegans,Centropages.elongatus,Centropages.furcatus,Centropages.gracilis,Centropages.orsinii,Clausocalanus.arcuicornis,Clausocalanus.brevipes,Clausocalanus.farrani,Clausocalanus.furcatus,Clausocalanus.ingens,Clausocalanus.jobei,Clausocalanus.mastigophorus,Clausocalanus.minor,Clausocalanus.parapergens,Clausocalanus.paululus,Clausocalanus.pergens,Clytemnestra.farrani,Clytemnestra.scutellata,Copilia.hendorffi,Copilia.mirabilis,Copilia.quadrata,Copilia.vitrea,Corycaeus.clausi,Corycaeus.crassiusculus,Corycaeus.speciosus,Corycaeus.vitreus,Cosmocalanus.darwinii,Ctenocalanus.citer,Ctenocalanus.vanus,Delibus.nudus,Dioithona.oculata,Dioithona.rigida,Ditrichocorycaeus.andrewsi,Ditrichocorycaeus.anglicus,Ditrichocorycaeus.asiaticus,Ditrichocorycaeus.aucklandicus,Ditrichocorycaeus.dahli,Ditrichocorycaeus.erythraeus,Ditrichocorycaeus.lubbocki,Ditrichocorycaeus.minimus,Ditrichocorycaeus.subtilis,Ditrichocorycaeus.tenuis,Eucalanus.elongatus,Eucalanus.hyalinus,Euchaeta.acuta,Euchaeta.concinna,Euchaeta.indica,Euchaeta.longicornis,Euchaeta.marina,Euchaeta.marinella,Euchaeta.rimana,Euchirella.rostrata,Euchirella.rostromagna,Euterpina.acutifrons,Farranula.carinata,Farranula.concinna,Farranula.curta,Farranula.gibbula,Farranula.gracilis,Farranula.rostrata,Gladioferens.inermis,Haloptilus.longicornis,Haloptilus.oxycephalus,Heterorhabdus.lobatus,Heterorhabdus.papilliger,Heterorhabdus.spinifer,Labidocera.acuta,Labidocera.cervi,Labidocera.farrani,Labidocera.kroyeri,Labidocera.minuta,Labidocera.pavo,Labidocera.tasmanica,Lubbockia.squillimana,Lucicutia.flavicornis,Lucicutia.gaussae,Macrosetella.gracilis,Mecynocera.clausi,Mesocalanus.tenuicornis,Metacalanus.aurivillii,Metridia.lucens,Microsetella.norvegica,Microsetella.rosea,Nannocalanus.minor,Neocalanus.gracilis,Neocalanus.tonsus,Oculosetella.gracilis,Oithona.atlantica,Oithona.attenuata,Oithona.australis,Oithona.brevicornis,Oithona.decipiens,Oithona.fallax,Oithona.longispina,Oithona.nana,Oithona.plumifera,Oithona.robusta,Oithona.setigera,Oithona.similis,Oithona.simplex,Oithona.tenuis,Oncaea.clevei,Oncaea.media,Oncaea.mediterranea,Oncaea.paraclevei,Oncaea.scottodicarloi,Oncaea.venusta,Oncaea.waldemari,Onychocorycaeus.agilis,Onychocorycaeus.catus,Onychocorycaeus.giesbrechti,Onychocorycaeus.latus,Onychocorycaeus.ovalis,Onychocorycaeus.pacificus,Onychocorycaeus.pumilus,Paracalanus.aculeatus,Paracalanus.denudatus,Paracalanus.indicus,Paracalanus.nanus,Paracalanus.parvus,Pareucalanus.attenuatus,Pareucalanus.sewelli,Parundinella.dakini,Parvocalanus.crassirostris,Phaenna.spinifera,Pleuromamma.abdominalis,Pleuromamma.borealis,Pleuromamma.gracilis,Pleuromamma.indica,Pleuromamma.piseki,Pleuromamma.quadrungulata,Pontella.aculeata,Pontellina.morii,Pontellina.plumata,Pontellopsis.krameri,Pontellopsis.macronyx,Pseudodiaptomus.aurivillii,Pseudodiaptomus.cornutus,Pseudodiaptomus.mertoni,Rhincalanus.cornutus,Rhincalanus.nasutus,Rhincalanus.rostrifrons,Sapphirina.angusta,Sapphirina.auronitens,Sapphirina.metallina,Sapphirina.nigromaculata,Sapphirina.opalina,Sapphirina.scarlata,Sapphirina.stellata,Scaphocalanus.curtus,Scaphocalanus.echinatus,Scolecithricella.dentata,Scolecithricella.longifurca,Scolecithricella.minor,Scolecithrix.bradyi,Scolecithrix.danae,Scolecitrichopsis.ctenopus,Stephos.maculosus,Subeucalanus.crassus,Subeucalanus.longiceps,Subeucalanus.monachus,Subeucalanus.mucronatus,Subeucalanus.pileatus,Subeucalanus.subcrassus,Subeucalanus.subtenuis,Temora.discaudata,Temora.stylifera,Temora.turbinata,Temoropia.mayumbaensis,Tortanus.barbatus,Tortanus.gracilis,Triconia.conifera,Triconia.denticula,Triconia.dentipes,Triconia.umerus,Undinula.vulgaris,Urocorycaeus.furcifer,Urocorycaeus.lautus,Urocorycaeus.longistylis
NSI,17/09/2014,2014,9,17,20.2216,0.3124,35.5115,-0.010834236,20.4206,272,0,0,0,0,0,0,0,0,0,0.220588235,0,0,0,0,0.047794118,0.007352941,0,0,0,0,0,0,0.003676471,0,0,0,0,0,0,0,0,0,0,0,0,0.007352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007352941,0,0,0,6.4297,0,12.8593,0,0,0,0,0,6.4297,0,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4297,0,0,0,0,0,6.4297,0,0,6.4297,0,0,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.578,0,0,0,0,0,0,6.4297,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.5934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4297,0,0,0,0,109.3043,0,0,0,0,0,0,0,0,0,0,0,6.4297,70.7264,57.867,0,0,0,0,0,83.5857,0,0,0,32.1483,6.4297,0,0,0,0,0,0,0,0,12.8593,0,19.289,0,0,0,0,0,38.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,6.4297,0,0,0,0,0,0,0,0,25.7187,0,0,0,0,0,0,0,0,0,0,0
NSI,20/10/2014,2014,10,20,22.8894,0.1629,35.5358,0.017243221,6.6868,153,0,0,0,0,0,0,0,0,0,0.241830065,0,0,0,0,0.08496732,0,0,0,0,0,0,0,0.045751634,0,0,0,0.006535948,0,0,0,0,0,0,0,0,0.013071895,0.052287582,0.032679739,0,0,0,0,0,0,0,0,0.169934641,0,0,0,0.013071895,0,0,0,0,0,0,0,0,0,0,0.006535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4297,0,12.8593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5038,0,0,0,6.4297,0,3.2148,0,0,0,0,0,0,0,0,0,3.2148,0,0,0,0,3.2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5038,0,19.289,0,9.6445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6445,3.2148,0,0,0,16.0742,0,0,0,0,0,3.2148,0,0,0,0,0,0,38.578,3.2148,0,3.2148,0,0,3.2148,19.289,0,0,0,0,3.2148,0,0,0,0,0,0,0,0,0,0,3.2148,0,0,0,0,0,3.2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.578,0,0,0,0,0,0,0,0,0,0,0
NSI,7/11/2014,2014,11,7,24.1681,0.303,35.4583,0.139776906,11.3484,131,0,0,0,0,0,0,0,0.007633588,0,0.007633588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2148,0,0,0,0,3.2148,3.2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4296,0,0,0,0,0,0,0,0,0,0,3.2148,16.0742,0,0,0,9.6445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8593,0,3.2148,3.2148,0,0,0,0,3.2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.7264,0,3.2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2148,3.2148,0,9.6445,3.2148,0,0,0,28.9335,3.2148,0,0,0,0,0,0,0,0,0,0,6.4297,22.5038,19.289,0,0,6.4297,0,0,16.0742,22.5038,0,0,0,3.2148,0,0,0,0,0,0,0,0,0,0,12.8593,0,0,0,0,0,3.2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2148,0,0,0,0,0,0,0,0,3.2148,0,0,0,0,0,0,0,0,0,0,0
NSI,23/12/2014,2014,12,23,26.128,0.1856,35.4787,0.085147941,10.5254,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4297,0,6.4297,19.289,0,0,0,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.289,0,0,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.4451,6.4297,0,0,0,12.8594,0,0,0,0,0,0,0,0,0,0,0,0,64.2967,45.0077,0,0,12.8593,12.8593,0,12.8593,122.1637,6.4297,0,0,19.2891,0,0,6.4297,0,0,0,0,0,32.1484,0,19.289,0,0,0,0,0,19.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSI,19/01/2015,2015,1,19,27.3494,0.1378,35.5112,0.051577068,12.5829,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2148,0,0,0,0,0,0,0,0,0,3.2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2148,0,0,0,0,3.2148,0,0,0,0,0,3.2148,0,3.2148,0,0,0,12.8593,0,0,0,3.2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8594,0,0,0,0,147.8824,0,0,0,0,0,0,0,0,0,0,0,0,12.8593,12.8593,0,0,3.2148,32.1483,0,3.2148,25.7187,0,0,0,16.0742,6.4297,3.2148,0,0,3.2148,0,0,0,6.4297,0,6.4297,0,0,0,0,0,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2148,0,0,0,0,12.8593,0,0,0,0,0,0,0,0,0,0,0
NSI,4/03/2015,2015,3,4,27.2356,0.1575,35.3706,0.041658401,6.3011,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033057851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008264463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2148,0,0,0,0,0,0,6.4297,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2148,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2148,0,0,0,0,0,0,0,3.2148,0,0,6.4297,19.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4297,0,0,0,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2148,0,0,0,0,64.2967,6.4297,3.2148,0,0,0,3.2148,0,0,6.4297,0,0,0,12.8593,22.5038,0,0,0,32.1483,3.2148,9.6445,3.2148,0,0,0,3.2148,0,6.4297,0,0,0,0,0,0,25.7187,0,19.289,0,0,0,0,0,25.7186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2148,0,0,0
NSI,23/03/2015,2015,3,23,26.2285,0.3109,35.404,0.016175057,16.222,130,0,0,0,0,0,0,0,0,0,0.015384615,0,0,0,0,0,0,0,0,0.007692308,0,0,0,0.061538462,0,0,0,0.007692308,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4297,0,0,0,0,0,0,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,6.4297,0,0,0,0,6.4297,12.8593,0,0,0,0,0,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4297,32.1483,0,6.4297,0,0,0,0,0,0,6.4297,0,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,57.8669,0,0,0,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4297,0,96.4451,0,0,0,0,0,0,6.4297,0,6.4297,0,0,0,32.1483,25.7187,0,0,0,6.4297,12.8593,19.289,6.4297,0,0,0,25.7186,6.4297,0,12.8593,0,0,0,0,0,12.8593,0,12.8594,0,0,0,0,0,19.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4297,0,0,19.289,0,0,0,0,0,0,6.4297,0,0,0,0
NSI,12/05/2015,2015,5,12,24.3752,0.1871,35.4866,0.188759861,9.6895,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006493506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.837,0,0,0,0,0,0,0,0,0,3.6741,0,0,0,0,1.837,0,0,0,0,0,0,1.837,0,0,0,0,0,0,5.5111,1.837,0,0,0,0,0,0,0,0,0,0,0,0,1.837,0,0,0,0,0,0,1.837,0,1.837,0,0,3.6741,0,0,0,1.837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3482,0,0,0,0,0,0,0,1.837,0,1.837,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1437,0,0,0,9.1852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4089,0,0,0,0,58.7855,0,3.6741,0,0,0,0,0,0,0,0,0,0,1.837,22.0446,0,0,0,1.837,0,7.3482,11.0223,0,0,0,9.1852,0,0,0,1.837,0,0,0,0,11.0223,0,1.837,0,0,0,0,0,22.0446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.837,0,0,0,0,0,0,0,0,0,0,0,3.6741,0,0,0
NSI,28/05/2015,2015,5,28,22.5031,0.2909,35.6301,0.039522073,9.3937,137,0,0,0,0,0,0,0,0,0,0.00729927,0,0,0,0,0,0,0,0,0,0,0,0,0.01459854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6445,3.2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5038,3.2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4297,12.8593,0,0,0,32.1484,0,6.4297,0,0,0,0,0,0,0,0,0,0,19.289,12.8593,0,0,0,0,9.6445,3.2148,0,0,0,0,6.4296,0,0,0,0,0,0,0,0,19.289,0,16.0741,0,0,0,0,0,3.2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2148,0,0,6.4297,0,3.2148,0,0,0,0,0,0,0,0,0,0,0
NSI,24/06/2015,2015,6,24,NA,NA,NA,0.10483268,8.9501,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005813953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2148,0,0,25.7187,0,0,0,0,0,9.6445,0,0,0,0,0,0,0,0,0,3.2148,0,0,0,0,9.6445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6445,0,0,0,3.2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2148,3.2148,0,0,0,38.578,0,0,0,0,0,0,0,0,0,0,0,0,16.0742,3.2148,0,0,0,22.5038,3.2148,25.7187,3.2148,0,0,0,6.4296,0,6.4297,3.2148,0,0,0,0,0,19.289,0,9.6445,0,0,0,0,0,28.9335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
